fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2023-2024,1,1,JAMMU AND KASHMIR,12,RAJAURI,IGNOAPS,10951,18,646,10245,42,6496,671,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,13,SRINAGAR,IGNOAPS,5042,0,5,5037,0,2618,1030,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,5,JAMMU,IGNOAPS,9588,3411,164,5897,116,4478,77,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,620,KISHTWAR,IGNOAPS,4694,6,202,4419,67,4219,380,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,622,KULGAM,IGNOAPS,4525,66,95,3972,392,1807,0,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,623,BANDIPORA,IGNOAPS,4074,5,693,3312,64,3399,581,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,627,REASI,IGNOAPS,4924,63,2866,1976,19,3028,0,2024-07-30
2023-2024,1,1,JAMMU AND KASHMIR,8,KUPWARA,IGNOAPS,8873,65,725,4554,3529,8873,4182,2024-07-30
2023-2024,1,10,BIHAR,188,ARARIA,IGNOAPS,110634,12180,333,96745,1376,78720,77636,2024-07-30
2023-2024,1,10,BIHAR,194,BUXAR,IGNOAPS,66681,14325,1132,49368,1856,55280,59425,2024-07-30
2023-2024,1,10,BIHAR,206,MADHUBANI,IGNOAPS,237912,15392,813,210999,10708,171212,186839,2024-07-30
2023-2024,1,10,BIHAR,207,MUNGER,IGNOAPS,44008,5988,590,36046,1384,34135,35897,2024-07-30
2023-2024,1,10,BIHAR,210,NAWADA,IGNOAPS,80091,31349,434,16234,32074,54530,61885,2024-07-30
2023-2024,1,10,BIHAR,212,PATNA,IGNOAPS,278410,52481,1789,160443,63697,144249,148544,2024-07-30
2023-2024,1,10,BIHAR,215,ROHTAS,IGNOAPS,93121,5963,435,83449,3274,75784,75651,2024-07-30
2023-2024,1,10,BIHAR,217,SAMASTIPUR,IGNOAPS,119892,29314,441,87167,2970,94674,103204,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,232,EAST SIANG,IGNOAPS,2680,0,2680,0,0,1671,0,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,IGNOAPS,1470,0,1470,0,0,1130,167,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,679,SIANG,IGNOAPS,888,0,888,0,0,356,0,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,719,LOWER SIANG,IGNOAPS,543,0,543,0,0,365,39,2024-07-30
2023-2024,1,12,ARUNACHAL PRADESH,725,SHI YOMI,IGNOAPS,785,0,785,0,0,339,63,2024-07-30
2023-2024,1,13,NAGALAND,244,DIMAPUR,IGNOAPS,5665,5,5543,104,13,5,2,2024-07-30
2023-2024,1,13,NAGALAND,247,MON,IGNOAPS,6594,15,6579,0,0,10,0,2024-07-30
2023-2024,1,13,NAGALAND,251,ZUNHEBOTO,IGNOAPS,6105,0,6105,0,0,1155,0,2024-07-30
2023-2024,1,13,NAGALAND,613,PEREN,IGNOAPS,2180,0,2180,0,0,0,0,2024-07-30
2023-2024,1,14,MANIPUR,253,CHANDEL,IGNOAPS,2083,0,1978,41,64,1026,20,2024-07-30
2023-2024,1,14,MANIPUR,255,IMPHAL EAST,IGNOAPS,8778,50,353,1315,7060,7420,340,2024-07-30
2023-2024,1,15,MIZORAM,265,LUNGLEI,IGNOAPS,4518,39,4269,209,1,2631,2645,2024-07-30
2023-2024,1,15,MIZORAM,727,SAITUAL,IGNOAPS,652,1,651,0,0,605,650,2024-07-30
2023-2024,1,16,TRIPURA,652,KHOWAI,IGNOAPS,12790,2068,5427,2994,2301,7311,18,2024-07-30
2023-2024,1,16,TRIPURA,654,GOMATI,IGNOAPS,16488,2523,6978,5430,1557,11869,41,2024-07-30
2023-2024,1,17,MEGHALAYA,276,RI BHOI,IGNOAPS,6219,30,6093,91,5,2980,292,2024-07-30
2023-2024,1,18,ASSAM,285,DHUBRI,IGNOAPS,27243,94,16,26829,304,22267,21628,2024-07-30
2023-2024,1,18,ASSAM,294,KOKRAJHAR,IGNOAPS,21879,819,10016,7701,3343,15953,17232,2024-07-30
2023-2024,1,18,ASSAM,299,DIMA HASAO,IGNOAPS,3639,26,2962,601,50,2877,3639,2024-07-30
2023-2024,1,18,ASSAM,301,SONITPUR,IGNOAPS,21721,460,667,19044,1550,13589,12920,2024-07-30
2023-2024,1,18,ASSAM,302,TINSUKIA,IGNOAPS,22426,607,1644,15261,4914,17456,18130,2024-07-30
2023-2024,1,19,WEST BENGAL,304,24 PARGANAS SOUTH,IGNOAPS,105786,29313,2491,73357,336,99826,90159,2024-07-30
2023-2024,1,19,WEST BENGAL,306,PURBA BURDWAN,IGNOAPS,70955,25468,4627,39622,1019,69704,63971,2024-07-30
2023-2024,1,19,WEST BENGAL,316,MALDAH,IGNOAPS,55019,10039,2044,42466,436,52711,53849,2024-07-30
2023-2024,1,19,WEST BENGAL,318,PASCHIM MEDINIPUR,IGNOAPS,62443,14170,7115,40630,517,61225,59371,2024-07-30
2023-2024,1,19,WEST BENGAL,319,MURSHIDABAD,IGNOAPS,135561,15482,1376,114882,3074,130756,126686,2024-07-30
2023-2024,1,19,WEST BENGAL,702,KALIMPONG,IGNOAPS,2655,201,773,1644,37,2632,2654,2024-07-30
2023-2024,1,2,HIMACHAL PRADESH,20,KULLU,IGNOAPS,4546,1783,54,2621,88,1609,0,2024-07-30
2023-2024,1,2,HIMACHAL PRADESH,25,SOLAN,IGNOAPS,5056,2103,207,2534,212,1329,0,2024-07-30
2023-2024,1,20,JHARKHAND,323,CHATRA,IGNOAPS,30142,7648,513,6932,15049,29854,22914,2024-07-30
2023-2024,1,20,JHARKHAND,325,DHANBAD,IGNOAPS,61047,7177,5208,18721,29941,60497,11237,2024-07-30
2023-2024,1,20,JHARKHAND,328,GARHWA,IGNOAPS,63193,15458,5810,14339,27586,61902,17418,2024-07-30
2023-2024,1,20,JHARKHAND,342,SIMDEGA,IGNOAPS,20720,2227,14715,1467,2311,20660,5398,2024-07-30
2023-2024,1,21,ODISHA,348,BHADRAK,IGNOAPS,46330,5969,405,30295,9661,46086,36377,2024-07-30
2023-2024,1,21,ODISHA,356,JAJPUR,IGNOAPS,61077,7048,852,40023,13154,60936,22376,2024-07-30
2023-2024,1,22,CHHATTISGARH,389,SURGUJA,IGNOAPS,30092,1555,6851,18275,3411,28758,6004,2024-07-30
2023-2024,1,22,CHHATTISGARH,649,BALRAMPUR,IGNOAPS,18276,522,7173,8046,2535,16642,12876,2024-07-30
2023-2024,1,22,CHHATTISGARH,650,BEMETARA,IGNOAPS,14364,1585,546,3385,8848,12409,3792,2024-07-30
2023-2024,1,23,MADHYA PRADESH,392,BALAGHAT,IGNOAPS,106204,9288,22319,2425,72172,64469,45401,2024-07-30
2023-2024,1,23,MADHYA PRADESH,395,BHIND,IGNOAPS,35256,11390,123,8010,15733,21035,19805,2024-07-30
2023-2024,1,23,MADHYA PRADESH,404,DINDORI,IGNOAPS,53747,3322,34053,919,15453,23275,14784,2024-07-30
2023-2024,1,23,MADHYA PRADESH,408,HARDA,IGNOAPS,15524,3901,5096,1118,5409,6683,6788,2024-07-30
2023-2024,1,23,MADHYA PRADESH,413,KATNI,IGNOAPS,54789,8475,15319,5992,25003,25888,25248,2024-07-30
2023-2024,1,23,MADHYA PRADESH,426,SATNA,IGNOAPS,129666,27328,23955,27272,51111,90739,48237,2024-07-30
2023-2024,1,23,MADHYA PRADESH,429,SHAHDOL,IGNOAPS,44456,4542,21526,5924,12464,30891,19119,2024-07-30
2023-2024,1,23,MADHYA PRADESH,434,TIKAMGARH,IGNOAPS,70518,21188,3833,6087,39410,46843,36811,2024-07-30
2023-2024,1,23,MADHYA PRADESH,436,UMARIA,IGNOAPS,38798,3634,18171,4955,12038,16531,16729,2024-07-30
2023-2024,1,23,MADHYA PRADESH,437,VIDISHA,IGNOAPS,62749,17218,4431,8727,32373,31120,22635,2024-07-30
2023-2024,1,24,GUJARAT,438,AHMADABAD,IGNOAPS,65292,8349,417,47116,8943,55112,22904,2024-07-30
2023-2024,1,24,GUJARAT,439,AMRELI,IGNOAPS,24706,3379,255,5842,15228,24159,12937,2024-07-30
2023-2024,1,24,GUJARAT,445,DAHOD,IGNOAPS,74534,1417,55629,4117,13370,70082,45872,2024-07-30
2023-2024,1,24,GUJARAT,447,JAMNAGAR,IGNOAPS,23609,2148,140,11598,9686,22656,10291,2024-07-30
2023-2024,1,24,GUJARAT,449,KACHCHH,IGNOAPS,16111,2177,137,8088,5679,15221,8610,2024-07-30
2023-2024,1,24,GUJARAT,456,PORBANDAR,IGNOAPS,7167,1411,132,1637,3987,6489,2944,2024-07-30
2023-2024,1,24,GUJARAT,458,SABAR KANTHA,IGNOAPS,25905,3293,7321,8868,6409,24000,16428,2024-07-30
2023-2024,1,27,MAHARASHTRA,474,DHULE,IGNOAPS,39424,143,1246,37329,706,28252,78,2024-07-30
2023-2024,1,27,MAHARASHTRA,477,HINGOLI,IGNOAPS,14408,1286,127,12618,377,12934,1777,2024-07-30
2023-2024,1,27,MAHARASHTRA,479,JALNA,IGNOAPS,38499,806,159,36547,987,35094,22971,2024-07-30
2023-2024,1,27,MAHARASHTRA,481,LATUR,IGNOAPS,72123,9870,1678,46498,14077,61262,6753,2024-07-30
2023-2024,1,27,MAHARASHTRA,487,NASHIK,IGNOAPS,65525,3442,27226,30960,3897,54751,6775,2024-07-30
2023-2024,1,27,MAHARASHTRA,500,YAVATMAL,IGNOAPS,34700,2442,2238,24380,5640,33445,9484,2024-07-30
2023-2024,1,28,ANDHRA PRADESH,503,CHITTOOR,IGNOAPS,147942,22911,5159,68476,51396,108524,101527,2024-07-30
2023-2024,1,28,ANDHRA PRADESH,504,CUDDAPAH,IGNOAPS,81974,10474,2020,43234,26246,57458,54433,2024-07-30
2023-2024,1,28,ANDHRA PRADESH,519,SRIKAKULAM,IGNOAPS,124256,6660,5190,29875,82531,90738,83871,2024-07-30
2023-2024,1,28,ANDHRA PRADESH,749,NTR,IGNOAPS,17883,485,1078,9173,7147,17883,17848,2024-07-30
2023-2024,1,28,ANDHRA PRADESH,753,Annamayya,IGNOAPS,22418,4168,703,10076,7471,22418,22394,2024-07-30
2023-2024,1,29,KARNATAKA,526,BENGALURU RURAL,IGNOAPS,19723,2099,487,5073,12064,19218,15222,2024-07-30
2023-2024,1,29,KARNATAKA,533,CHITRADURGA,IGNOAPS,19236,2122,1554,962,14598,18376,14025,2024-07-30
2023-2024,1,29,KARNATAKA,536,DHARWAR,IGNOAPS,7183,180,171,773,6059,7002,4747,2024-07-30
2023-2024,1,29,KARNATAKA,541,KODAGU,IGNOAPS,8135,631,257,1759,5488,7723,5832,2024-07-30
2023-2024,1,29,KARNATAKA,547,SHIMOGA,IGNOAPS,15611,1380,311,2889,11031,14646,10861,2024-07-30
2023-2024,1,29,KARNATAKA,631,RAMANAGARA,IGNOAPS,33767,2916,304,10417,20130,32466,27230,2024-07-30
2023-2024,1,3,PUNJAB,33,HOSHIARPUR,IGNOAPS,4488,459,0,4029,0,2366,4460,2024-07-30
2023-2024,1,3,PUNJAB,35,KAPURTHALA,IGNOAPS,1253,24,1,1226,2,704,1158,2024-07-30
2023-2024,1,3,PUNJAB,39,MUKTSAR,IGNOAPS,2759,239,0,2518,2,2194,2758,2024-07-30
2023-2024,1,3,PUNJAB,41,PATIALA,IGNOAPS,10166,553,4,9090,519,5854,7008,2024-07-30
2023-2024,1,3,PUNJAB,608,SAS NAGAR,IGNOAPS,2014,6,0,2005,3,712,1985,2024-07-30
2023-2024,1,31,LAKSHADWEEP,553,LAKSHADWEEP DISTRICT,IGNOAPS,120,0,96,23,1,118,1,2024-07-30
2023-2024,1,32,KERALA,562,MALAPPURAM,IGNOAPS,28856,1567,70,27219,0,28234,23981,2024-07-30
2023-2024,1,33,TAMIL NADU,569,COIMBATORE,IGNOAPS,71897,22818,1786,3103,44190,63292,60499,2024-07-30
2023-2024,1,33,TAMIL NADU,572,DINDIGUL,IGNOAPS,24982,5318,25,725,18914,15825,21534,2024-07-30
2023-2024,1,33,TAMIL NADU,585,SIVAGANGAI,IGNOAPS,27254,4170,0,7510,15574,23188,26624,2024-07-30
2023-2024,1,33,TAMIL NADU,587,THE NILGIRIS,IGNOAPS,8477,4110,1036,307,3024,6970,8086,2024-07-30
2023-2024,1,33,TAMIL NADU,588,THENI,IGNOAPS,14151,2052,23,2466,9610,9249,7354,2024-07-30
2023-2024,1,36,TELANGANA,682,PEDDAPALLI,IGNOAPS,7672,1703,162,277,5530,6673,6697,2024-07-30
2023-2024,1,36,TELANGANA,685,KAMAREDDY,IGNOAPS,24532,4387,2201,1651,16293,21852,23520,2024-07-30
2023-2024,1,36,TELANGANA,689,JANGOAN,IGNOAPS,12835,2441,1749,534,8111,9745,12415,2024-07-30
2023-2024,1,36,TELANGANA,690,BHADRADRI KOTHAGUDEM,IGNOAPS,11761,1606,3806,305,6044,11354,9421,2024-07-30
2023-2024,1,36,TELANGANA,698,VIKARABAD,IGNOAPS,13832,3333,1333,1304,7862,13176,13525,2024-07-30
2023-2024,1,36,TELANGANA,700,MEDCHAL,IGNOAPS,13295,1767,295,1576,9657,12998,11917,2024-07-30
2023-2024,1,36,TELANGANA,720,MULUGU,IGNOAPS,3435,553,897,186,1799,2815,2782,2024-07-30
2023-2024,1,4,CHANDIGARH,44,CHANDIGARH,IGNOAPS,2378,0,0,2378,0,2378,0,2024-07-30
2023-2024,1,5,UTTARAKHAND,45,ALMORA,IGNOAPS,24432,6969,11,17146,306,13270,8284,2024-07-30
2023-2024,1,6,HARYANA,604,MEWAT,IGNOAPS,14016,1108,0,6387,6521,8718,6276,2024-07-30
2023-2024,3,1,JAMMU AND KASHMIR,10,POONCH,IGNOAPS,4311,2,1575,2483,251,3601,4,2024-07-30
2023-2024,3,1,JAMMU AND KASHMIR,11,PULWAMA,IGNOAPS,5272,1,212,4661,398,5271,3079,2024-07-30
2023-2024,3,1,JAMMU AND KASHMIR,4,DODA,IGNOAPS,7895,533,371,6876,115,7838,627,2024-07-30
2023-2024,3,1,JAMMU AND KASHMIR,627,REASI,IGNOAPS,4462,61,2520,1862,19,3891,0,2024-07-30
2023-2024,3,10,BIHAR,188,ARARIA,IGNOAPS,110634,12180,333,96745,1376,78720,77636,2024-07-30
2023-2024,3,10,BIHAR,191,BEGUSARAI,IGNOAPS,96466,19367,654,56403,20042,79433,79898,2024-07-30
2023-2024,3,10,BIHAR,203,KISHANGANJ,IGNOAPS,67016,1671,548,62283,2514,54293,57100,2024-07-30
2023-2024,3,10,BIHAR,206,MADHUBANI,IGNOAPS,237912,15392,813,210999,10708,171212,186839,2024-07-30
2023-2024,3,10,BIHAR,209,NALANDA,IGNOAPS,120965,30944,1237,54603,34181,84384,98202,2024-07-30
2023-2024,3,10,BIHAR,217,SAMASTIPUR,IGNOAPS,119892,29314,441,87167,2970,94674,103204,2024-07-30
2023-2024,3,10,BIHAR,219,SHEIKHPURA,IGNOAPS,24206,2719,53,17849,3585,19006,20225,2024-07-30
2023-2024,3,10,BIHAR,223,SUPAUL,IGNOAPS,73036,8568,384,44447,19637,52779,63830,2024-07-30
2023-2024,3,11,SIKKIM,228,WEST DISTRICT,IGNOAPS,5061,222,2107,1462,1270,0,0,2024-07-30
2023-2024,3,12,ARUNACHAL PRADESH,241,UPPER SUBANSIRI,IGNOAPS,2949,0,2949,0,0,1471,0,2024-07-30
2023-2024,3,14,MANIPUR,255,IMPHAL EAST,IGNOAPS,8633,50,349,1321,6913,7328,824,2024-07-30
2023-2024,3,14,MANIPUR,256,IMPHAL WEST,IGNOAPS,10333,563,201,1933,7636,8719,2135,2024-07-30
2023-2024,3,14,MANIPUR,257,SENAPATI,IGNOAPS,7892,0,7397,494,1,3712,7,2024-07-30
2023-2024,3,14,MANIPUR,258,TAMENGLONG,IGNOAPS,2441,0,2360,81,0,1356,0,2024-07-30
2023-2024,3,15,MIZORAM,264,LAWNGTLAI,IGNOAPS,1848,0,1674,174,0,526,792,2024-07-30
2023-2024,3,15,MIZORAM,266,MAMIT,IGNOAPS,2077,0,2057,20,0,1520,1617,2024-07-30
2023-2024,3,15,MIZORAM,267,SAIHA,IGNOAPS,1170,1,1051,117,1,676,798,2024-07-30
2023-2024,3,15,MIZORAM,726,HNAHTHIAL,IGNOAPS,1022,0,960,61,1,928,796,2024-07-30
2023-2024,3,16,TRIPURA,269,DHALAI,IGNOAPS,18967,3162,9839,4686,1280,11651,126,2024-07-30
2023-2024,3,16,TRIPURA,270,NORTH TRIPURA,IGNOAPS,11430,1832,3511,4199,1888,7544,4,2024-07-30
2023-2024,3,16,TRIPURA,652,KHOWAI,IGNOAPS,12745,2060,5406,2988,2291,7551,19,2024-07-30
2023-2024,3,17,MEGHALAYA,273,EAST GARO HILLS,IGNOAPS,3417,6,3312,98,1,3096,294,2024-07-30
2023-2024,3,18,ASSAM,282,CACHAR,IGNOAPS,34487,4652,944,24709,4182,20406,23377,2024-07-30
2023-2024,3,18,ASSAM,287,GOALPARA,IGNOAPS,22361,507,2772,18375,707,16967,16743,2024-07-30
2023-2024,3,18,ASSAM,289,HAILAKANDI,IGNOAPS,15372,1498,123,12393,1358,11249,12541,2024-07-30
2023-2024,3,18,ASSAM,292,KARBI ANGLONG,IGNOAPS,16025,1012,10131,1881,3001,9438,7951,2024-07-30
2023-2024,3,18,ASSAM,294,KOKRAJHAR,IGNOAPS,21829,820,9988,7680,3341,15973,17214,2024-07-30
2023-2024,3,18,ASSAM,616,BAKSA,IGNOAPS,22795,1697,5666,12676,2756,11858,9587,2024-07-30
2023-2024,3,18,ASSAM,617,UDALGURI,IGNOAPS,17344,2775,7186,4344,3039,13605,11386,2024-07-30
2023-2024,3,18,ASSAM,707,SOUTH SALMARA-MANCACHAR,IGNOAPS,9898,108,38,9714,38,7644,7506,2024-07-30
2023-2024,3,18,ASSAM,709,HOJAI,IGNOAPS,17065,1404,168,15222,271,9992,13471,2024-07-30
2023-2024,3,19,WEST BENGAL,304,24 PARGANAS SOUTH,IGNOAPS,107052,29201,2481,74718,348,101289,95526,2024-07-30
2023-2024,3,19,WEST BENGAL,312,HOOGHLY,IGNOAPS,63904,21092,2899,36305,3567,62315,60415,2024-07-30
2023-2024,3,19,WEST BENGAL,317,PURBA MEDINIPUR,IGNOAPS,51945,7683,527,43176,531,50980,48365,2024-07-30
2023-2024,3,20,JHARKHAND,322,BOKARO,IGNOAPS,36991,5422,4873,8646,18050,36928,18750,2024-07-30
2023-2024,3,20,JHARKHAND,323,CHATRA,IGNOAPS,30064,7623,514,6914,15013,29787,24857,2024-07-30
2023-2024,3,20,JHARKHAND,327,PURBI SINGHBHUM,IGNOAPS,51278,2787,12933,24533,11025,50718,31840,2024-07-30
2023-2024,3,20,JHARKHAND,338,PALAMU,IGNOAPS,77570,21826,5788,17253,32703,75011,17920,2024-07-30
2023-2024,3,20,JHARKHAND,340,SAHEBGANJ,IGNOAPS,33609,2220,9133,9785,12471,32997,13288,2024-07-30
2023-2024,3,20,JHARKHAND,342,SIMDEGA,IGNOAPS,20467,2193,14532,1473,2269,20404,5318,2024-07-30
2023-2024,3,21,ODISHA,347,BARGARH,IGNOAPS,51918,5819,5651,27753,12695,51767,26653,2024-07-30
2023-2024,3,21,ODISHA,350,CUTTACK,IGNOAPS,76907,8345,780,48044,19738,71887,33353,2024-07-30
2023-2024,3,21,ODISHA,358,KALAHANDI,IGNOAPS,53949,8126,10261,16342,19220,52540,27889,2024-07-30
2023-2024,3,21,ODISHA,367,NAYAGARH,IGNOAPS,36690,2278,999,23862,9550,35949,26085,2024-07-30
2023-2024,3,22,CHHATTISGARH,380,JASHPUR,IGNOAPS,24562,1825,13640,4143,4954,21634,11547,2024-07-30
2023-2024,3,22,CHHATTISGARH,383,KORBA,IGNOAPS,27698,1936,11425,8175,6162,24870,2450,2024-07-30
2023-2024,3,22,CHHATTISGARH,388,RAJNANDAGON,IGNOAPS,17801,990,900,11732,4179,17370,5398,2024-07-30
2023-2024,3,22,CHHATTISGARH,637,NARAYANPUR,IGNOAPS,4580,146,3689,519,226,3762,257,2024-07-30
2023-2024,3,22,CHHATTISGARH,643,KONDAGAON,IGNOAPS,16022,708,10590,1827,2897,15756,5384,2024-07-30
2023-2024,3,22,CHHATTISGARH,645,GARIYABAND,IGNOAPS,25670,1840,6238,7543,10049,24457,19826,2024-07-30
2023-2024,3,22,CHHATTISGARH,734,GAURELA- PENDRA-MARWAHI,IGNOAPS,10354,229,1628,7534,963,9031,4010,2024-07-30
2023-2024,3,22,CHHATTISGARH,760,MANENDRAGARH CHIRMIRI BHARATPUR,IGNOAPS,8081,572,3569,2325,1615,7889,2767,2024-07-30
2023-2024,3,23,MADHYA PRADESH,393,BARWANI,IGNOAPS,63751,4683,45870,1582,11616,23348,20807,2024-07-30
2023-2024,3,23,MADHYA PRADESH,395,BHIND,IGNOAPS,35256,11390,123,8010,15733,21035,19805,2024-07-30
2023-2024,3,23,MADHYA PRADESH,401,DATIA,IGNOAPS,22467,8940,614,1821,11092,16076,9955,2024-07-30
2023-2024,3,23,MADHYA PRADESH,402,DEWAS,IGNOAPS,54696,16947,9834,6701,21214,37451,16588,2024-07-30
2023-2024,3,23,MADHYA PRADESH,403,DHAR,IGNOAPS,50984,5705,33486,2472,9321,38076,19271,2024-07-30
2023-2024,3,23,MADHYA PRADESH,428,SEONI,IGNOAPS,53052,5962,20684,4400,22006,27338,20680,2024-07-30
2023-2024,3,23,MADHYA PRADESH,429,SHAHDOL,IGNOAPS,44456,4542,21526,5924,12464,30891,19119,2024-07-30
2023-2024,3,23,MADHYA PRADESH,431,SHEOPUR,IGNOAPS,17349,3715,5222,1109,7303,7254,7626,2024-07-30
2023-2024,3,24,GUJARAT,438,AHMADABAD,IGNOAPS,65084,8325,416,46942,8935,54939,22857,2024-07-30
2023-2024,3,24,GUJARAT,440,ANAND,IGNOAPS,61285,1327,195,49167,10355,53537,23305,2024-07-30
2023-2024,3,24,GUJARAT,442,BHARUCH,IGNOAPS,29506,2326,15718,8222,3216,28460,11654,2024-07-30
2023-2024,3,24,GUJARAT,445,DAHOD,IGNOAPS,74548,1416,55619,4123,13389,70225,46905,2024-07-30
2023-2024,3,24,GUJARAT,448,JUNAGADH,IGNOAPS,20863,3235,349,8632,8643,18208,18355,2024-07-30
2023-2024,3,24,GUJARAT,453,NAVSARI,IGNOAPS,14848,491,9777,3460,1120,14291,4944,2024-07-30
2023-2024,3,24,GUJARAT,456,PORBANDAR,IGNOAPS,7139,1403,131,1626,3979,6462,2927,2024-07-30
2023-2024,3,24,GUJARAT,675,GIR SOMNATH,IGNOAPS,10716,903,104,7408,2269,9964,5156,2024-07-30
2023-2024,3,27,MAHARASHTRA,467,AKOLA,IGNOAPS,19534,16,0,19514,4,18053,1,2024-07-30
2023-2024,3,27,MAHARASHTRA,469,AURANGABAD,IGNOAPS,35646,44,13,35568,21,31690,11025,2024-07-30
2023-2024,3,27,MAHARASHTRA,473,CHANDRAPUR,IGNOAPS,49661,1331,1539,43731,3060,44899,21954,2024-07-30
2023-2024,3,27,MAHARASHTRA,478,JALGAON,IGNOAPS,85680,2221,1319,77095,5045,80017,45235,2024-07-30
2023-2024,3,27,MAHARASHTRA,480,KOLHAPUR,IGNOAPS,21572,1540,97,18522,1413,18406,6549,2024-07-30
2023-2024,3,27,MAHARASHTRA,490,PUNE,IGNOAPS,10064,750,217,8428,669,7346,877,2024-07-30
2023-2024,3,27,MAHARASHTRA,491,RAIGAD,IGNOAPS,6789,382,1319,3181,1907,6668,1365,2024-07-30
2023-2024,3,27,MAHARASHTRA,499,WASHIM,IGNOAPS,14345,1241,281,11930,893,13430,1751,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,502,ANANTAPUR,IGNOAPS,151377,17408,5977,57127,70865,111307,99090,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,503,CHITTOOR,IGNOAPS,147952,22913,5159,68482,51398,108541,101576,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,504,CUDDAPAH,IGNOAPS,81994,10474,2020,43254,26246,57480,54555,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,505,EAST GODAVARI,IGNOAPS,131853,19614,4411,63384,44444,93931,91914,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,515,SPSR NELLORE,IGNOAPS,80504,15854,8793,29872,25985,59687,60427,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,521,VIZIANAGARAM,IGNOAPS,62201,5454,6892,6809,43046,48575,51548,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,746,Kakinada,IGNOAPS,27006,5614,122,11091,10179,27006,26991,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,747,Konaseema,IGNOAPS,21195,3604,459,5425,11707,21195,21137,2024-07-30
2023-2024,3,28,ANDHRA PRADESH,755,Nandyal,IGNOAPS,15000,3106,864,5575,5455,15000,14977,2024-07-30
2023-2024,3,29,KARNATAKA,527,BELGAUM,IGNOAPS,71033,5352,2299,11588,51794,63796,40136,2024-07-30
2023-2024,3,29,KARNATAKA,530,BIJAPUR,IGNOAPS,18140,1994,88,2869,13189,17200,11028,2024-07-30
2023-2024,3,29,KARNATAKA,543,KOPPAL,IGNOAPS,25361,1538,1531,4331,17961,24558,18603,2024-07-30
2023-2024,3,29,KARNATAKA,550,UTTARA KANNADA,IGNOAPS,12997,787,288,714,11208,12762,10072,2024-07-30
2023-2024,3,3,PUNJAB,38,MOGA,IGNOAPS,3393,12,0,3379,2,1923,3222,2024-07-30
2023-2024,3,3,PUNJAB,43,SANGRUR,IGNOAPS,11185,156,2,10984,43,5838,10358,2024-07-30
2023-2024,3,3,PUNJAB,662,PATHANKOT,IGNOAPS,3567,276,1,3244,46,1708,3180,2024-07-30
2023-2024,3,32,KERALA,556,IDUKKI,IGNOAPS,27299,4252,1021,22026,0,26874,15498,2024-07-30
2023-2024,3,32,KERALA,561,KOZHIKODE,IGNOAPS,30231,1135,110,28986,0,29683,23140,2024-07-30
2023-2024,3,32,KERALA,563,PALAKKAD,IGNOAPS,21550,1453,353,19744,0,21050,13952,2024-07-30
2023-2024,3,32,KERALA,565,THIRUVANANTHAPURAM,IGNOAPS,84632,5931,492,78209,0,82538,53959,2024-07-30
2023-2024,3,33,TAMIL NADU,573,ERODE,IGNOAPS,53449,14004,885,12832,25728,46378,50532,2024-07-30
2023-2024,3,33,TAMIL NADU,574,KANCHEEPURAM,IGNOAPS,52165,15662,576,26245,9682,32851,50390,2024-07-30
2023-2024,3,33,TAMIL NADU,575,KANYAKUMARI,IGNOAPS,25222,786,130,1347,22959,22149,24669,2024-07-30
2023-2024,3,33,TAMIL NADU,584,SALEM,IGNOAPS,67036,17250,1889,16157,31740,60424,41925,2024-07-30
2023-2024,3,33,TAMIL NADU,585,SIVAGANGAI,IGNOAPS,27254,4170,0,7510,15574,23188,26624,2024-07-30
2023-2024,3,33,TAMIL NADU,588,THENI,IGNOAPS,14151,2052,23,2466,9610,9249,7354,2024-07-30
2023-2024,3,36,TELANGANA,507,HYDERABAD,IGNOAPS,990,54,4,532,400,932,764,2024-07-30
2023-2024,3,36,TELANGANA,680,NIRMAL,IGNOAPS,16439,2944,1799,1201,10495,13726,15303,2024-07-30
2023-2024,3,36,TELANGANA,681,JAGITIAL,IGNOAPS,9491,1899,282,314,6996,8792,8530,2024-07-30
2023-2024,3,36,TELANGANA,683,RAJANNA SIRCILLA,IGNOAPS,5606,1307,191,294,3814,4995,5417,2024-07-30
